A	HC_Cluster_1_Alpine	HC_Cluster_1_Atlantic	HC_Cluster_1_Continental	HC_Cluster_2_Alpine	HC_Cluster_2_Continental	HC_Cluster_2_Mediterranean	HC_Cluster_2_Pannonian	HC_Cluster_3_Alpine	HC_Cluster_3_Boreal	HC_Cluster_4_Mediterranean
HC_Cluster_1_Alpine	1e-11	0.03631430994759307	0.053288480366282164	4.525816272699718e-4	0.008191283242638903	0.006125712960248013	2.9987840563500612e-5	0.001918690517465895	0.004358830228656296	0.002284973587774036
HC_Cluster_1_Atlantic	0.03231038626627589	1e-11	0.12379648983104431	0.013336281560354641	0.0874901704914035	0.05224234497791623	0.007957184065302372	0.04965031045859737	0.09054564217031899	0.23572950634693737
HC_Cluster_1_Continental	0.04396405257394966	0.11683179572838137	1e-11	0.033583244148005995	0.15102707398250634	0.044078451793620764	0.007536193180762704	0.04529229056871986	0.10815143633596887	0.03517166888658249
HC_Cluster_2_Alpine	4.090180158066914e-4	0.01611489237044751	0.042149082556774464	1e-11	0.06427186874167228	0.017282330605146355	2.2124102292636833e-4	0.0025226397111825978	0.013448125190577523	0.014310642861159966
HC_Cluster_2_Continental	0.006465262219127807	0.07826042354558484	0.13813015196490608	0.050986000358132784	1e-11	0.061163690052772376	0.038957078378379424	0.054033716888836125	0.24024571440634707	0.03190119151959764
HC_Cluster_2_Mediterranean	0.007071893949208876	0.05903874299871517	0.049516987672887716	0.02212098462985171	0.08777558735776632	1e-11	0.009582171147786379	0.011359536329025283	0.04391849471869476	0.019855100233280885
HC_Cluster_2_Pannonian	2.0234040422461964e-5	0.00915069848469326	0.009762571616706356	2.125590160914466e-4	0.03796172180551154	0.008476339657773472	1e-11	0.0010824232284121801	0.024339983085737534	0.003562992765819035
HC_Cluster_3_Alpine	0.001003509739361079	0.02873490591581237	0.023315223898391562	9.046467238698919e-4	0.02757424970103637	0.0073966946712349085	4.7244636720472307e-4	1e-11	0.01456485560718966	0.008369660065952586
HC_Cluster_3_Boreal	0.00264255213374399	0.053563893443509744	0.06287205749870539	0.00854564813832863	0.12546558262342916	0.02719970180164678	0.016568248235186475	0.023584010186923087	1e-11	0.013462596952003664
HC_Cluster_4_Mediterranean	0.0028079892007477677	0.2817623368243567	0.04239208315823407	0.01676703234387447	0.04782443438534796	0.023445677990557856	0.003977559349631261	0.013150387557690019	0.025496390376230638	1e-11
