A	HC_Cluster_1_Alpine	HC_Cluster_1_Atlantic	HC_Cluster_1_Continental	HC_Cluster_2_Alpine	HC_Cluster_2_Continental	HC_Cluster_2_Mediterranean	HC_Cluster_2_Pannonian	HC_Cluster_3_Alpine	HC_Cluster_3_Boreal	HC_Cluster_4_Mediterranean
HC_Cluster_1_Alpine	1e-11	0.06524246821116442	0.07251346671380489	0.0038248139053526243	0.022226267455305503	0.007111191555323469	4.1860831999966083e-4	0.002051675128632395	0.006334148764835286	0.004197355754624423
HC_Cluster_1_Atlantic	0.05722291493890605	1e-11	0.3948614436404341	0.0507943713556823	0.3776534865010238	0.10582771938038407	0.033446213041063017	0.08438117736823231	0.25612947364477484	0.3337304559221647
HC_Cluster_1_Continental	0.06007685641077772	0.3889996454708873	1e-11	0.05642391954737577	0.3586020805940488	0.051025841219955306	0.018993068883549777	0.04823080167383694	0.16957574288822136	0.058063438137582954
HC_Cluster_2_Alpine	0.00339716966647043	0.05953048495276867	0.07212179987450945	1e-11	0.08812380532937554	0.023781480530284255	0.0022715865915841687	0.0030480495078858316	0.01729249227512187	0.035313921444534026
HC_Cluster_2_Continental	0.017716472937772985	0.364147897560504	0.35636951175158804	0.07085546909137962	1e-11	0.09908985527448737	0.06712948902885872	0.06957097116253057	0.3445521293235912	0.0957082970103769
HC_Cluster_2_Mediterranean	0.008220775470007862	0.11937554239632957	0.057616748327216166	0.030153120653466835	0.13877924116177248	1e-11	0.023541877549033682	0.012443915458642544	0.05156053118497262	0.08185651998285502
HC_Cluster_2_Pannonian	2.792369316507051e-4	0.03727213425229798	0.02430530594303748	0.0022077536341483595	0.059155621546295035	0.020104075961578236	1e-11	0.0013774393982563045	0.02743661420731614	0.013555441503707336
HC_Cluster_3_Alpine	0.0010598660199121796	0.05726995586813971	0.02469468783571692	0.0011012627782624289	0.03578633935522442	0.008019111210832057	6.022245041430204e-4	1e-11	0.047878996622467335	0.010051519496424813
HC_Cluster_3_Boreal	0.0038358985811836094	0.1775119030585255	0.10262817821615625	0.010950912251514636	0.18314605315535346	0.032586025917554794	0.018722957027837373	0.05676687342422028	1e-11	0.022503223211596018
HC_Cluster_4_Mediterranean	0.0050958017023357794	0.39961157244354184	0.06929537521661791	0.04170809744069532	0.14272731004767436	0.09105137017294225	0.01449553030726162	0.015927965377557265	0.04182036094138739	1e-11
