freq,animals,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,A2000,THS_HD,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109.33 
A,A2000,THS_HD,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.96 
A,A2000,THS_HD,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	118.75 
A,A2000,THS_HD,AT11	20.98 	20.93 	20.43 	20.43 	19.88 	19.20 	18.69 	17.50 	17.27 	16.94 	16.06 	15.86 
A,A2000,THS_HD,AT12	446.08 	446.87 	442.58 	438.55 	436.44 	429.03 	419.66 	411.21 	418.33 	418.45 	409.84 	399.70 
A,A2000,THS_HD,AT13	0.09 	0.10 	0.07 	0.10 	0.08 	0.08 	0.08 	0.07 	0.07 	0.07 	0.07 	0.08 
A,A2000,THS_HD,AT21	189.02 	188.12 	186.25 	186.72 	188.33 	185.63 	183.72 	179.79 	175.78 	168.88 	166.22 	167.43 
A,A2000,THS_HD,AT22	322.47 	323.15 	322.89 	322.29 	319.58 	319.72 	315.52 	308.43 	304.43 	299.16 	296.45 	299.93 
A,A2000,THS_HD,AT31	572.65 	573.03 	573.24 	569.88 	566.61 	553.25 	541.49 	539.94 	550.52 	553.87 	540.95 	528.58 
A,A2000,THS_HD,AT32	162.65 	163.87 	164.87 	166.90 	165.72 	162.78 	160.14 	159.11 	160.94 	160.98 	161.33 	162.53 
A,A2000,THS_HD,AT33	179.92 	180.40 	181.59 	183.46 	181.51 	178.79 	176.04 	174.71 	177.65 	178.05 	179.83 	180.93 
A,A2000,THS_HD,AT34	64.43 	64.74 	65.69 	66.06 	65.33 	64.34 	64.17 	64.66 	65.11 	64.67 	64.74 	64.98 
A,A2000,THS_HD,BE10	0.59 	0.79 	0.87 	0.50 	0.73 	0.70 	0.72 	0.72 	0.74 	0.83 	0.85 	1.12 
A,A2000,THS_HD,BE21	306.31 	323.89 	334.72 	337.53 	332.54 	340.99 	345.21 	343.30 	346.92 	340.75 	342.40 	318.52 
A,A2000,THS_HD,BE22	128.14 	134.74 	137.28 	137.00 	129.83 	131.57 	129.60 	128.69 	127.27 	125.64 	122.60 	120.92 
A,A2000,THS_HD,BE23	314.83 	328.00 	329.61 	331.74 	318.02 	315.32 	311.89 	309.59 	304.62 	302.63 	296.83 	286.36 
A,A2000,THS_HD,BE24	100.93 	102.97 	104.25 	105.07 	98.78 	99.52 	96.07 	97.56 	94.17 	95.93 	95.58 	91.07 
A,A2000,THS_HD,BE25	405.20 	410.39 	415.15 	415.43 	399.74 	396.08 	393.21 	386.58 	385.16 	383.24 	376.22 	360.41 
A,A2000,THS_HD,BE31	50.45 	49.43 	50.00 	50.08 	44.56 	47.22 	45.33 	44.59 	43.02 	42.16 	40.84 	38.78 
A,A2000,THS_HD,BE32	300.85 	305.29 	304.79 	301.28 	287.31 	284.26 	279.47 	272.35 	267.66 	262.27 	253.31 	242.29 
A,A2000,THS_HD,BE33	257.75 	262.91 	263.59 	259.74 	247.66 	245.42 	241.17 	236.56 	232.52 	229.61 	224.22 	217.33 
A,A2000,THS_HD,BE34	333.44 	325.68 	327.25 	330.23 	306.99 	315.73 	311.55 	302.48 	296.53 	293.01 	286.82 	278.97 
A,A2000,THS_HD,BE35	234.06 	233.14 	235.77 	232.74 	219.82 	221.27 	218.87 	213.03 	211.82 	210.03 	206.03 	197.65 
A,A2000,THS_HD,BG31	68.61 	63.89 	69.34 	71.23 	67.21 	67.09 	64.07 	68.46 	66.32 	61.23 	65.19 	62.41 
A,A2000,THS_HD,BG32	69.76 	65.62 	64.79 	63.24 	60.35 	58.88 	57.15 	67.03 	71.08 	67.30 	63.07 	62.21 
A,A2000,THS_HD,BG33	75.16 	77.63 	73.91 	77.17 	76.23 	67.91 	65.20 	67.99 	68.73 	65.01 	62.60 	59.54 
A,A2000,THS_HD,BG34	100.24 	103.56 	105.48 	109.26 	104.18 	105.05 	101.40 	114.61 	119.07 	111.29 	111.15 	109.12 
A,A2000,THS_HD,BG41	69.39 	62.37 	68.52 	67.17 	68.61 	74.18 	72.69 	86.81 	94.76 	91.40 	88.28 	86.51 
A,A2000,THS_HD,BG42	202.39 	189.30 	179.01 	182.07 	176.35 	169.01 	166.67 	184.01 	191.23 	183.64 	184.01 	178.98 
A,A2000,THS_HD,CH01	: 	: 	147.02 	145.93 	146.23 	145.60 	143.00 	143.42 	145.99 	147.36 	146.93 	147.25 
A,A2000,THS_HD,CH02	: 	: 	586.64 	589.68 	587.12 	584.22 	578.81 	567.46 	574.53 	577.15 	577.23 	572.49 
A,A2000,THS_HD,CH03	: 	: 	115.86 	114.90 	113.94 	112.67 	112.37 	112.18 	112.38 	112.77 	112.90 	113.11 
A,A2000,THS_HD,CH04	: 	: 	96.45 	96.55 	95.49 	93.44 	92.74 	91.22 	92.58 	92.74 	92.65 	92.51 
A,A2000,THS_HD,CH05	: 	: 	349.55 	350.39 	349.95 	252.99 	338.37 	341.62 	342.85 	344.31 	344.26 	343.42 
A,A2000,THS_HD,CH06	: 	: 	254.97 	254.68 	255.41 	342.66 	252.80 	251.62 	250.75 	251.44 	251.00 	251.64 
A,A2000,THS_HD,CH07	: 	: 	9.96 	10.19 	10.32 	10.63 	10.84 	10.64 	10.70 	10.41 	10.38 	10.43 
A,A2000,THS_HD,CY00	57.08 p	59.50 	61.39 p	63.14 	66.94 p	70.86 	73.97 	83.03 	84.61 	81.44 	82.27 	82.68 
A,A2000,THS_HD,CZ01	1.35 	1.36 	1.53 	1.86 	1.68 	1.50 	1.81 	2.08 	1.97 	2.12 	1.71 	3.40 
A,A2000,THS_HD,CZ02	145.63 	145.38 	146.61 	143.48 	148.34 	147.87 	144.99 	140.85 	145.56 	148.97 	151.94 	151.81 
A,A2000,THS_HD,CZ03	362.58 	376.69 	369.38 	359.58 	367.02 	364.00 	366.69 	358.44 	365.21 	376.46 	365.59 	374.34 
A,A2000,THS_HD,CZ04	72.46 	80.61 	77.79 	79.30 	83.77 	83.51 	81.36 	79.18 	78.83 	78.08 	75.85 	81.47 
A,A2000,THS_HD,CZ05	258.12 	265.61 	264.74 	258.11 	260.05 	261.25 	260.06 	255.00 	256.95 	260.46 	256.12 	258.63 
A,A2000,THS_HD,CZ06	267.73 	271.32 	271.82 	270.93 	274.73 	272.90 	276.26 	274.45 	275.22 	288.17 	284.62 	290.78 
A,A2000,THS_HD,CZ07	147.81 	151.67 	152.38 	147.32 	150.36 	152.37 	149.67 	146.71 	149.11 	149.29 	148.13 	151.03 
A,A2000,THS_HD,CZ08	76.41 	80.42 	82.07 	79.01 	80.42 	81.84 	86.20 	83.33 	86.57 	86.95 	85.65 	85.96 
A,A2000,THS_HD,DE30	: 	: 	: 	: 	: 	: 	: 	0.85 	0.77 	0.78 	0.73 	0.85 
A,A2000,THS_HD,DE40	: 	: 	: 	: 	: 	: 	: 	477.24 	457.11 	448.31 	436.67 	417.50 
A,A2000,THS_HD,DE50	: 	: 	: 	: 	: 	: 	: 	8.88 	8.52 	8.27 	8.07 	7.72 
A,A2000,THS_HD,DE60	: 	: 	: 	: 	: 	: 	: 	6.02 	5.84 	5.86 	5.62 	5.44 
A,A2000,THS_HD,DE80	: 	: 	: 	: 	: 	: 	: 	469.82 	451.01 	458.84 	456.69 	442.68 
A,A2000,THS_HD,DEC0	: 	: 	: 	: 	: 	: 	: 	41.32 	39.48 	39.58 	38.97 	37.74 
A,A2000,THS_HD,DEE0	347.03 	352.73 	349.29 	340.92 	335.29 	325.06 	313 	298.51 	284.83 	278.09 	271.43 	258.11 
A,A2000,THS_HD,DEF0	: 	: 	: 	: 	: 	: 	: 	985.08 	958.12 	950.53 	934.15 	: 
A,A2000,THS_HD,DEG0	: 	: 	: 	: 	: 	: 	: 	293.86 	282.67 	277.88 	275.18 	265.19 
A,A2000,THS_HD,DK01	30.00 	30.00 	30.00 	30.00 	29.00 	30.00 	28.00 	27.00 	27.00 	26.92 	24.59 	23.77 
A,A2000,THS_HD,DK02	83.00 	81.00 	80.00 	77.00 	76.00 	74.00 	72.00 	71.00 	68.00 	66.18 	64.53 	62.22 
A,A2000,THS_HD,DK03	608.00 	596.00 	606.00 	607.00 	609.00 	602.00 	594.00 	595.00 	589.00 	581.18 	573.17 	563.51 
A,A2000,THS_HD,DK04	490.00 	478.00 	480.00 	477.00 	478.00 	465.00 	453.00 	451.00 	445.00 	444.24 	434.16 	428.14 
A,A2000,THS_HD,DK05	374.00 	368.00 	371.00 	364.00 	365.00 	359.00 	354.00 	355.00 	350.00 	347.89 	338.43 	336.22 
A,A2000,THS_HD,EE00	261.70 p	264.90 p	256.20 p	248.20 	251.30 	255.10 	254.00 	253.30 	250.80 	249.62 	241.36 	232.30 
A,A2000,THS_HD,EL11	105.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL12	181.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL13	40.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL14	113.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL21	63.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL22	6.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL23	63.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL24	30.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL25	16.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,EL30	3.70 	3.80 	2.50 	2.70 	2.70 p	2.20 p	1.80 	2.90 	3.20 	2.60 	1.76 	1.15 
A,A2000,THS_HD,EL41	9.60 	8.50 	8.50 	8.10 	7.80 	6.90 	6.60 	6.40 	6.20 	4.40 	4.68 	4.16 
