origin_GeoCluster	HC_Cluster_1_Atlantic	HC_Cluster_1_Continental	HC_Cluster_2_Continental	HC_Cluster_1_Alpine	HC_Cluster_2_Alpine	HC_Cluster_2_Mediterranean	HC_Cluster_2_Pannonian	HC_Cluster_3_Alpine	HC_Cluster_3_Boreal	HC_Cluster_4_Mediterranean
HC_Cluster_1_Alpine	1e-6	863947.1429999999	934.581	1e-6	1e-6	1e-6	1e-6	1e-6	1e-6	1e-6
HC_Cluster_1_Atlantic	1498966889.317	1e-6	144909419.413	4472530.185	8605688.648	27900767.061	23278104.312	581362.924	24681438.718000002	83965007.20899999
HC_Cluster_1_Continental	1408353785.526	301003.87799999997	1e-6	1927527.017	85648453.259	40218410.583	14524043.888	445464.449	6434989.819	7473478.08
HC_Cluster_2_Alpine	6097515.4	106724087.901	116349742.354	1e-6	183936.813	1574875.256	45514016.308	1e-6	1e-6	614015.514
HC_Cluster_2_Continental	138114264.994	344994085.109	281838922.067	1043.461	1e-6	13174251.105	180174531.483	68176.333	32747359.673	621443.092
HC_Cluster_2_Mediterranean	31903076.68	9621494.425	12920622.293	1e-6	1570018.104	1e-6	1556659.356	1e-6	1e-6	1485716.6570000001
HC_Cluster_2_Pannonian	30671754	19591553	211038850	1e-6	60833179	3752051	1e-6	1e-6	463459	927871
HC_Cluster_3_Alpine	810222.892	467425.288	67166	1e-6	1e-6	1e-6	1e-6	1e-6	17204.137	1e-6
HC_Cluster_3_Boreal	13552941.343	4499976.271	19090229.663	1e-6	1e-6	1e-6	5909649.674000001	17048.489	1e-6	1e-6
HC_Cluster_4_Mediterranean	49610903.938	4552477.893999999	227551.82400000002	1e-6	10986.266	649267.6950000001	530147.669	1e-6	238148.33299999998	1e-6
