origin_GeoCluster	HC_Cluster_1_Atlantic	HC_Cluster_1_Continental	HC_Cluster_2_Continental	HC_Cluster_1_Alpine	HC_Cluster_2_Alpine	HC_Cluster_2_Mediterranean	HC_Cluster_2_Pannonian	HC_Cluster_3_Alpine	HC_Cluster_3_Boreal	HC_Cluster_4_Mediterranean
HC_Cluster_1_Alpine	1e-6	2406269	136	1e-6	1e-6	1e-6	1e-6	1e-6	1e-6	1e-6
HC_Cluster_1_Atlantic	850371230.574	1e-6	49215302.411	1754667	4853322.085	2380729.814	758401.682	9284	5824229.805	14667373.445
HC_Cluster_1_Continental	1221413071.79	121632.8	1e-6	3400560	55619262	1122799	7110087	894	1011228	89020
HC_Cluster_2_Alpine	177547	67443084.2	75108544	1e-6	218737.864	255800	17234618.622	1e-6	1e-6	63814
HC_Cluster_2_Continental	69047843.6	179257452.8	105742988.81	137	1e-6	2410234.84	101050911.22	824	12860672	73811
HC_Cluster_2_Mediterranean	1943430	446224	1598798	1e-6	79149	1e-6	166684	1e-6	1e-6	60914
HC_Cluster_2_Pannonian	1e-6	1e-6	1861808	1e-6	16614	4014	1e-6	1e-6	1e-6	1e-6
HC_Cluster_3_Alpine	2481	907	824	1e-6	1e-6	1e-6	1e-6	1e-6	880	1e-6
HC_Cluster_3_Boreal	1324388.792	480861	11581440.993	1e-6	1e-6	1e-6	76376	121.74	1e-6	1e-6
HC_Cluster_4_Mediterranean	11748265.91	129128	2636	1e-6	22.07	34106	16195	1e-6	36899	1e-6
