freq,leg_form,so_eur,statinfo,unit,farmtype,geo\TIME_PERIOD	2010 	2013 	2016 	2020 	2023 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,AT	0.86 	0.88 	0.96 	0.87 	0.86 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,BE	2.78 	2.72 	2.76 	2.68 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,BG	0.22 	0.20 	0.26 	0.23 	0.22 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,CH	1.66 	: 	1.56 	: 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,CY	1.74 	1.64 	1.56 	1.78 	1.89 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,CZ	0.49 	0.49 	0.50 	0.47 	0.46 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,DE	1.04 	1.08 	1.06 	0.98 	0.91 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,DK	1.84 	1.56 	1.56 	1.59 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,EE	0.32 	0.32 	0.28 	0.30 	0.28 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,EL	0.46 	0.44 	0.67 	0.70 	0.72 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,ES	0.62 	0.61 	0.65 	0.70 	0.66 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,EU27_2020	0.76 	0.74 	0.78 	0.76 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,FI	0.47 	0.51 	0.49 	0.42 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,FR	0.80 	0.78 	0.80 	0.75 	0.72 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,HR	0.74 	0.66 	0.58 	0.62 	0.56 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,HU	0.50 	0.44 	0.49 	0.42 	0.38 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,IE	1.23 	1.18 	1.26 	1.41 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,IS	0.07 	: 	: 	0.01 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,IT	0.77 	0.77 	0.75 	0.82 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,LT	0.33 	0.29 	0.29 	0.25 	0.25 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,LU	1.25 	1.23 	1.30 	1.24 	1.19 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,LV	0.26 	0.26 	0.26 	0.25 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,ME	0.51 	: 	: 	: 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,MK	: 	1.20 	: 	: 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,MT	5.52 	4.63 	4.22 	5.00 	4.81 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,NL	3.54 	3.53 	3.77 	3.46 	3.32 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,NO	1.20 	1.23 	1.29 	1.21 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,PL	0.73 	0.65 	0.68 	0.72 	0.69 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,PT	0.59 	0.55 	0.62 	0.63 	0.58 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,RO	0.36 	0.34 	0.41 	0.35 	0.33 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,RS	0.58 	: 	: 	: 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,SE	0.54 	0.53 	0.54 	0.55 	0.55 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,SI	1.10 	1.02 	1.07 	1.09 	: 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,SK	0.35 	0.33 	0.33 	0.33 	0.30 
A,TOTAL,TOTAL,ABVTH,RAT,TOTAL,UK	0.80 	0.74 	0.84 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,AT	0.10 	0.11 	0.44 	0.06 	0.07 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,BE	0.14 	0.08 	10.01 	0.07 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,BG	1.26 	1.04 	1.15 	0.54 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,CH	0.14 	: 	: u	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,CY	0.23 	0.34 	0.28 	0.20 	0.23 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,CZ	0.64 	6.65 	8.61 	: @C	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,DE	: @C	: u@C	: u	0.00 	: u@C
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,DK	0.07 	: u	0.81 u	0.70 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,EE	0.07 	0.05 	0.03 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,EL	0.20 	0.21 	0.21 	0.10 	0.12 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,ES	0.18 	0.15 	0.16 	0.20 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,EU27_2020	0.39 	0.36 	0.39 	0.26 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,FI	0.07 	: u	: @C	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,FR	0.18 	0.19 	0.17 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,HR	0.81 	0.44 	0.43 	0.29 	0.27 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,HU	1.58 	2.04 	2.00 	0.76 	0.35 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,IE	0.18 	0.12 	0.10 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,IS	: @C	: 	: 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,IT	0.05 	0.03 	0.02 	0.08 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,LT	0.14 	0.13 	0.13 	0.10 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,LU	0.08 	0.07 	0.08 	0.09 	0.05 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,LV	0.10 	0.11 	0.14 	0.06 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,ME	0.58 	: 	: 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,MK	: 	0.48 	: 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,MT	0.12 	0.15 	0.13 	0.14 	0.08 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,NL	0.08 	0.09 	0.08 	0.06 	0.07 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,NO	0.19 u	: u	0.15 	0.27 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,PL	0.14 	0.13 	0.10 	0.08 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,PT	0.46 	0.43 	0.41 	0.38 	0.38 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,RO	0.48 	0.41 	0.40 	0.36 	0.41 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,RS	0.59 	: 	: 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,SE	: u	0.00 u	0.00 	: @C	0.06 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,SI	0.23 	0.21 	0.22 	0.13 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,SK	0.55 	0.51 	0.36 	: 	: 
A,TOTAL,TOTAL,BLWTH,RAT,TOTAL,UK	0.05 u	0.14 u	0.12 	: 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,AT	0.85 	0.87 	0.95 	0.86 	0.86 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,BE	2.78 	2.72 	2.77 	2.68 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,BG	0.24 	0.21 	0.27 	0.23 	: 
A,TOTAL,TOTAL,TOTAL,RAT,TOTAL,CH	1.65 	: 	1.55 	: 	: 
