freq,tra_type,tra_oper,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,LOADED,MIO_TKM,AT	24213 	25260 	25458 	26138 	25978 	25763 	26444 	25910 	27282 	26830 	25422 	25315 
A,TOTAL,LOADED,MIO_TKM,BE	32796 	31808 	36078 	35192 	34220 	32685 	34830 	34379 	36175 	33480 	32234 	32090 
A,TOTAL,LOADED,MIO_TKM,BG	27097 	27854 	32297 	35409 	35150 	26950 	20551 	32566 	35130 	35134 	33125 	26969 
A,TOTAL,LOADED,MIO_TKM,CH	12817 	13067 	12441 	12134 	11947 	12500 	12399 	12486 	12698 	12988 	11888 	12268 
A,TOTAL,LOADED,MIO_TKM,CY	634 	538 	563 	703 	826 	892 	858 	709 	731 	949 	1023 	1096 
A,TOTAL,LOADED,MIO_TKM,CZ	54893 	54092 	58715 	50315 	44274 	41073 	39059 	56090 	63756 	65794 	64806 	70346 
A,TOTAL,LOADED,MIO_TKM,DE	305744 	310142 	314816 	315774 	313149 	316772 	311875 	304613 	307272 	303948 	286408 	280840 
A,TOTAL,LOADED,MIO_TKM,DK	16072 	16184 	15500 	16094 	15502 	14998 	14991 	14686 	15342 	15162 	16406 	16666 
A,TOTAL,LOADED,MIO_TKM,EE	5986 	6310 	6263 	6716 	6189 	5775 	4794 	4279 	5237 	4540 	4194 	4363 
A,TOTAL,LOADED,MIO_TKM,EL	16583 	19223 	19764 	21228 	21343 	27493 	21844 	21232 	21053 	21182 	20011 	20574 
A,TOTAL,LOADED,MIO_TKM,ES	192597 	195767 	209390 	216997 	231109 	238994 	249559 	242268 	270176 	266724 	263382 	271588 
A,TOTAL,LOADED,MIO_TKM,EU27_2020	1569745 	1582550 	1614870 	1675444 	1758318 	1761866 	1813524 	1799634 	1920510 	1918566 	1857006 	1868697 
A,TOTAL,LOADED,MIO_TKM,FI	24429 	23401 	24488 	26846 	27966 	28345 	28848 	29671 	29618 	30590 	28255 	27603 
A,TOTAL,LOADED,MIO_TKM,FR	171472 	165225 	153580 	155843 	167691 	171875 	174061 	169663 	174853 	173353 	169240 	174015 
A,TOTAL,LOADED,MIO_TKM,HR	9133 	9381 	10439 	11337 	11834 	12635 	12477 	12255 	13629 	13659 	14329 	14325 
A,TOTAL,LOADED,MIO_TKM,HU	35818 	37517 	38353 	40002 	39684 	37948 	36951 	32224 	37101 	37444 	33353 	34231 
A,TOTAL,LOADED,MIO_TKM,IE	9215 	9751 	9900 	11616 	11836 	11600 	12444 	11424 	12493 	12364 	12591 	13528 
A,TOTAL,LOADED,MIO_TKM,IT	127241 	117813 	116820 	112637 	119687 	124915 	137986 	133222 	144986 	151100 	145173 	152678 
A,TOTAL,LOADED,MIO_TKM,LI	317 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,LOADED,MIO_TKM,LT	26338 	28067 	26485 	30974 	39099 	43590 	53117 	55292 	57755 	53773 	63101 	66245 
A,TOTAL,LOADED,MIO_TKM,LU	8606 	9599 	7849 	8297 	8092 	6800 	7381 	6176 	6904 	7353 	6964 	6364 
A,TOTAL,LOADED,MIO_TKM,LV	12816 	13670 	14690 	14227 	14972 	14997 	14965 	13705 	15103 	14581 	13203 	14906 
A,TOTAL,LOADED,MIO_TKM,ME	: 	: 	: 	120 	103 	78 	81 	91 	112 	: 	: 	: 
A,TOTAL,LOADED,MIO_TKM,MK	: 	: 	: 	: 	: 	: 	: 	820 	856 	: 	: 	: 
A,TOTAL,LOADED,MIO_TKM,NL	72081 	72338 	68900 	67779 	67533 	68876 	68923 	67594 	69559 	65466 	62600 	62883 
A,TOTAL,LOADED,MIO_TKM,NO	21317 	21594 	23136 	20910 	21385 	21338 	21463 	21399 	22553 	24428 	24408 	24047 
A,TOTAL,LOADED,MIO_TKM,PL	247594 	250931 	260713 	290749 	335220 	315874 	348952 	354927 	379820 	385089 	377873 	368314 
A,TOTAL,LOADED,MIO_TKM,PT	36555 	34863 	31835 	34877 	34186 	32963 	31014 	24241 	32050 	32039 	26782 	23043 
A,TOTAL,LOADED,MIO_TKM,RO	34026 	35136 	39023 	48176 	54704 	58762 	61041 	55027 	61849 	64353 	65249 	67357 
A,TOTAL,LOADED,MIO_TKM,SE	33529 	41964 	41502 	42673 	41851 	43478 	42604 	43187 	47485 	47865 	42383 	40938 
A,TOTAL,LOADED,MIO_TKM,SI	15905 	16273 	17909 	18707 	20814 	22225 	24011 	22662 	24968 	24308 	22520 	21857 
A,TOTAL,LOADED,MIO_TKM,SK	30147 	31358 	33540 	36139 	35411 	35586 	33941 	31634 	30183 	31488 	26380 	30562 
A,TOTAL,LOADED,MIO_TKM,UK	139703 	135393 	150101 	155042 	153939 	159282 	160831 	: 	: 	: 	: 	: 
A,TOTAL,LOADED,THS_T,AT	325475 	349544 	351068 	376399 	386858 	393313 	402083 	373064 	403502 	390419 	370596 	366651 
A,TOTAL,LOADED,THS_T,BE	300608 	299476 	295057 	291522 	300121 	285526 	283979 	273251 	277828 	273307 	275878 	260601 
A,TOTAL,LOADED,THS_T,BG	160127 	153077 	161567 	146636 	151479 	143199 	114574 	136229 	157376 	160488 	165218 	148097 
A,TOTAL,LOADED,THS_T,CH	295647 	303167 	289215 	284617 	291346 	292912 	301103 	316299 	287868 	307601 	279024 	269830 
A,TOTAL,LOADED,THS_T,CY	16122 	14585 	14402 	19682 	25595 	29308 	29361 	26041 	27670 	38550 	40693 	41994 
A,TOTAL,LOADED,THS_T,CZ	351517 	386243 	438907 	431889 	459433 	479235 	504099 	459703 	500288 	473688 	433685 	442756 
A,TOTAL,LOADED,THS_T,DE	2938701 	3052628 	3035329 	3111858 	3161837 	3200925 	3208232 	3119646 	3107981 	3060964 	2856755 	2778260 
A,TOTAL,LOADED,THS_T,DK	173917 	178146 	181232 	184726 	179062 	167534 	167747 	178098 	171555 	174842 	169507 	177924 
A,TOTAL,LOADED,THS_T,EE	31080 	27358 	28162 	34581 	28969 	28494 	28373 	23281 	28894 	27156 	25110 	29834 
A,TOTAL,LOADED,THS_T,EL	436233 	403327 	420005 	419836 	340908 	368458 	372209 	304637 	270994 	290027 	275426 	258836 
